timestamp,ip,module,level,message
"2025-11-04 12:07:15",10.212.134.2,php7,warn,"PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/anmata/public_html/lostandfound/login.php on line 11, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:15",10.212.134.2,php7,warn,"PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/anmata/public_html/lostandfound/login.php on line 13, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:28",10.212.134.2,php7,warn,"PHP Warning:  include(db_connection.php): failed to open stream: No such file or directory in /home/anmata/public_html/lostandfound/login.php on line 3, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:28",10.212.134.2,php7,warn,"PHP Warning:  include(): Failed opening 'db_connection.php' for inclusion (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in /home/anmata/public_html/lostandfound/login.php on line 3, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:28",10.212.134.2,php7,notice,"PHP Notice:  Undefined variable: conn in /home/anmata/public_html/lostandfound/login.php on line 11, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:28",10.212.134.2,php7,warn,"PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/anmata/public_html/lostandfound/login.php on line 11, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:28",10.212.134.2,php7,warn,"PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/anmata/public_html/lostandfound/login.php on line 13, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:32",10.212.134.2,php7,warn,"PHP Warning:  include(db_connection.php): failed to open stream: No such file or directory in /home/anmata/public_html/lostandfound/login.php on line 3, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:32",10.212.134.2,php7,warn,"PHP Warning:  include(): Failed opening 'db_connection.php' for inclusion (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in /home/anmata/public_html/lostandfound/login.php on line 3, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:32",10.212.134.2,php7,notice,"PHP Notice:  Undefined variable: conn in /home/anmata/public_html/lostandfound/login.php on line 11, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
